ID,Lat,Lon
LS7_24324020,-114.3752295006535,45.95050911159331
LS7_24324292,-113.96571997911362,45.87119773802121
LS7_24324592,-114.21115802441231,45.749660958588386
LS7_22950181,-114.36036775237181,48.58687019440061
LS7_24324880,-114.19742622528057,45.601423198951935
LS7_24324888,-114.52464641244396,45.59842146094149
LS7_22951665,-114.27596974843036,48.7583502942397
LS7_22951275,-114.12532840154752,48.678215034411195
LS7_22951461,-114.30036728487622,48.60544656195003
LS7_22950701,-114.11547040627586,48.872840562832174
LS7_22957575,-113.41683707139072,48.180120409291256
LS7_22958063,-113.45082831643572,48.1268017131189
LS7_22958221,-113.77489545009257,48.67945626020587
LS7_22958377,-114.04162254251008,48.57709304854738
LS7_22958927,-113.42062182663614,48.31081270234378
LS7_22958793,-113.51756561716802,48.39090946366778
LS7_22959041,-113.23895494273742,48.22485763611091
LS7_22959087,-113.53402554385866,48.214067852795885
LS7_24339242,-114.14164686607539,48.389244342497854
LS7_24339914,-114.52868439978171,47.966251520719396
LS7_24339660,-114.38145589919634,48.13635638308818
LS7_24339652,-114.22410687711375,48.132698970209276
LS7_24339554,-114.66207545550238,48.178152448942896
LS7_22968566,-113.64327206796051,47.74651753962108
LS7_24338898,-114.56215622767479,48.21440050726672
LS7_24340170,-113.96549680346894,47.80724729780388
LS7_22965336,-113.51390044576085,47.86806393436308
LS7_22966044,-113.30763349965586,47.754073529634546
LS7_22965866,-113.17187749701286,47.444987282368146
LS7_22965756,-113.4365811401046,47.42476755421338
LS7_22966614,-113.95951208978957,48.42967881187973
LS7_22966514,-113.22784026093302,47.34452366726578
LS7_22966874,-113.83145868081054,48.21394554937126
LS7_22966634,-113.9424004610184,48.38476682548857
LS7_22966604,-113.35062678086287,47.9584506618459
LS7_22967112,-113.73009650243552,48.04309554911857
LS7_22967482,-113.47500130624441,47.850939255206335
LS7_22967016,-113.66297496822091,48.11335084522725
LS7_22967164,-113.4564811019265,48.01822843076838
LS7_22968034,-113.30622956430729,47.51423561903782
LS7_22967678,-113.18842154759321,47.77428604640806
LS7_22968156,-113.01843962053303,47.45805805773874
LS7_22967672,-113.14162620477012,47.77248036453601
LS7_22968170,-113.36916085218662,47.44239682697375
LS7_22968236,-113.14984997886833,47.42110162440526
LS7_24344205,-114.27457309579728,48.33035558234567
LS7_24344561,-114.81264767296493,48.45601193063066
LS7_24344503,-114.55496565955686,48.4837399393237
LS7_24345113,-114.82116803837218,48.299691998472404
LS7_24345233,-114.52843286903475,48.66002535874497
LS7_24345095,-114.61291756897323,48.72995066381754
LS7_24344845,-114.80195716804167,48.27468383379259
LS7_24345155,-114.74767558447431,48.63978820584032
LS7_24345533,-114.64853829381202,48.759190203070915
LS7_24345263,-114.60073366509891,48.3912915776836
LS7_24345461,-114.87169220419749,48.5521217308371
LS7_24350396,-113.66793576375314,47.71747076684849
LS7_24350240,-113.81399257281097,47.374609439031694
LS7_24349988,-113.85608877713652,47.87578826524628
LS7_24350044,-113.89378408007126,47.587514561005314
LS7_24351188,-113.80408681368144,47.59949487166814
LS7_24350684,-113.91329328876543,48.07209846769976
LS7_24351182,-113.85240864392499,47.60689974823674
LS7_24355891,-114.42450462100813,47.32496618774329
LS7_24351596,-113.69065368346882,47.38477018464289
LS7_24355901,-114.39737613985422,47.33486937412656
LS7_24351602,-113.71545779882793,47.38116727234091
LS7_24356381,-114.15671284403847,47.46188316537396
LS7_24356707,-114.43482995415033,47.78427225482305
LS7_24356965,-114.68661983486354,48.01233805431645
LS7_24357173,-114.42695473565331,47.2837238287858
LS7_24357489,-114.67342345657224,47.94647826221472
LS7_24358387,-114.38771206513589,47.63694447456412
LS7_24358493,-114.3612701068158,47.6147416920925
LS7_24324966,-114.11715830092221,46.471024011289245
LS7_24358219,-114.28142805397208,47.675223707727845
LS7_22949865,-114.58974344236039,48.92015300336467
LS7_22949561,-114.27866498058285,48.76217604698549
LS7_22949837,-114.5507253548939,48.937995068502104
LS7_22949885,-114.66922539435043,48.90967592297417
LS7_22949819,-114.40639745572871,48.926644752282286
LS7_24359053,-114.48970700156734,47.52130025380892
LS7_24358905,-114.69997028203596,47.540124755752174
LS7_24358799,-114.29972848511866,47.5675276203359
LS7_24359407,-114.26463212215522,47.445735410293906
LS7_24359885,-113.91870571552346,47.34552585044866
LS7_24360459,-113.88206005407338,47.16567309777932
LS7_24360619,-113.99530790400088,47.04367685825805
LS7_947010183,-114.15243821548867,47.619887891976205
LS7_22976772,-114.84867063442134,47.85503420296958
LS7_947010218,-115.01749646984318,48.00275820592911
LS7_22976878,-115.09895171678413,47.782675003828054
LS7_22977516,-114.88822057107045,47.75030726777478
LS7_22977328,-114.77104153016917,47.71814775145752
LS7_22977286,-116.14111455222815,48.3264844523426
LS7_22977134,-116.18671490009915,48.15035311317094
LS7_22977634,-115.6259303958405,48.05563818430269
LS7_22978090,-115.83990723756791,48.0607988229907
LS7_22977970,-115.92406995746232,48.112982702247045
LS7_22977890,-116.04741828390819,48.128997804949826
LS7_22978182,-115.10221088494934,48.03386021273241
LS7_22977876,-116.04951385472258,48.13935108228544
LS7_22978572,-114.9649971371443,47.90175072783879
LS7_22977882,-115.95335745132985,48.13545506426011
LS7_22979252,-115.03056334832353,47.66694517287813
LS7_22979116,-115.18801915122245,47.73356273941675
LS7_22979002,-115.50909580496722,47.77250119254394
LS7_24116127,-116.71859071457423,48.055083379605584
LS7_24115679,-116.36288579843517,48.10310325446179
LS7_24115749,-117.0004646628165,47.93856127578529
LS7_24115843,-117.02151072250575,47.97869206487292
